"data" "maxima" "pd"
2017-03-01 0.61 "night"
2017-03-02 0.79 "dawn"
2017-03-02 0.81 "morn"
2017-03-02 0.76 "after"
2017-03-02 0.64 "night"
2017-03-03 0.79 "dawn"
2017-03-03 0.82 "morn"
2017-03-03 0.8 "after"
2017-03-03 0.65 "night"
2017-03-04 0.86 "dawn"
2017-03-04 0.87 "morn"
2017-03-04 0.84 "after"
2017-03-04 0.64 "night"
2017-03-05 0.84 "dawn"
2017-03-05 0.89 "morn"
2017-03-05 0.86 "after"
2017-03-05 0.61 "night"
2017-03-06 0.82 "dawn"
2017-03-06 0.85 "morn"
2017-03-06 0.82 "after"
2017-03-06 0.61 "night"
2017-03-07 0.89 "dawn"
2017-03-07 0.98 "morn"
2017-03-07 0.98 "after"
2017-03-07 0.61 "night"
2017-03-08 0.84 "dawn"
2017-03-08 0.85 "morn"
2017-03-08 0.78 "after"
2017-03-08 0.59 "night"
2017-03-09 0.87 "dawn"
2017-03-09 0.93 "morn"
2017-03-09 0.95 "after"
2017-03-09 0.49 "night"
2017-03-10 0.73 "dawn"
2017-03-10 0.8 "morn"
2017-03-10 0.7 "after"
2017-03-10 0.5 "night"
2017-03-11 0.84 "dawn"
2017-03-11 0.89 "morn"
2017-03-11 0.97 "after"
2017-03-11 0.49 "night"
2017-03-12 0.8 "dawn"
2017-03-12 0.83 "morn"
2017-03-12 0.78 "after"
2017-03-12 0.51 "night"
2017-03-13 0.84 "dawn"
2017-03-13 0.94 "morn"
2017-03-13 0.94 "after"
2017-03-13 0.59 "night"
2017-03-14 0.81 "dawn"
2017-03-14 0.85 "morn"
2017-03-14 0.78 "after"
2017-03-14 0.6 "night"
2017-03-15 0.79 "dawn"
2017-03-15 0.87 "morn"
2017-03-15 0.78 "after"
2017-03-15 0.6 "night"
2017-03-16 0.8 "dawn"
2017-03-16 0.87 "morn"
2017-03-16 0.87 "after"
2017-03-16 0.54 "night"
2017-03-17 0.85 "dawn"
2017-03-17 0.93 "morn"
2017-03-17 0.93 "after"
2017-03-17 0.58 "night"
2017-03-18 0.87 "dawn"
2017-03-18 0.96 "morn"
2017-03-18 0.94 "after"
2017-03-18 0.67 "night"
2017-03-19 0.82 "dawn"
2017-03-19 0.85 "morn"
2017-03-19 0.82 "after"
2017-03-19 0.69 "night"
2017-03-20 0.87 "dawn"
2017-03-20 0.94 "morn"
2017-03-20 0.87 "after"
2017-03-20 0.64 "night"
2017-03-21 0.83 "dawn"
2017-03-21 0.82 "morn"
2017-03-21 0.81 "after"
2017-03-21 0.65 "night"
2017-03-22 0.86 "dawn"
2017-03-22 0.91 "morn"
2017-03-22 0.84 "after"
2017-03-22 0.68 "night"
2017-03-23 0.87 "dawn"
2017-03-23 0.87 "morn"
2017-03-23 0.84 "after"
2017-03-23 0.56 "night"
2017-03-24 0.9 "dawn"
2017-03-24 0.9 "morn"
2017-03-24 0.81 "after"
2017-03-24 0.55 "night"
2017-03-25 0.87 "dawn"
2017-03-25 0.92 "morn"
2017-03-25 0.83 "after"
2017-03-25 0.59 "night"
2017-03-26 0.88 "dawn"
2017-03-26 0.9 "morn"
2017-03-26 0.78 "after"
2017-03-26 0.58 "night"
2017-03-27 0.83 "dawn"
2017-03-27 0.82 "morn"
2017-03-27 0.72 "after"
2017-03-27 0.6 "night"
2017-03-28 0.85 "dawn"
2017-03-28 0.95 "morn"
2017-03-28 0.94 "after"
2017-03-28 0.61 "night"
2017-03-29 0.82 "dawn"
2017-03-29 0.89 "morn"
2017-03-29 0.85 "after"
2017-03-29 0.59 "night"
2017-03-30 0.86 "dawn"
2017-03-30 0.82 "morn"
2017-03-30 0.71 "after"
2017-03-30 0.56 "night"
2017-03-31 0.88 "dawn"
2017-03-31 0.9 "morn"
2017-03-31 0.86 "after"
2017-03-31 0.55 "night"
2017-04-01 0.87 "dawn"
2017-04-01 0.9 "morn"
2017-04-01 0.83 "after"
2017-04-01 0.61 "night"
2017-04-02 0.76 "dawn"
2017-04-02 0.78 "morn"
2017-04-02 0.71 "after"
2017-04-02 0.55 "night"
2017-04-03 0.78 "dawn"
2017-04-03 0.86 "morn"
2017-04-03 0.82 "after"
2017-04-03 0.66 "night"
2017-04-04 0.78 "dawn"
2017-04-04 0.78 "morn"
2017-04-04 0.74 "after"
2017-04-04 0.62 "night"
2017-04-05 0.82 "dawn"
2017-04-05 0.79 "morn"
2017-04-05 0.68 "after"
2017-04-05 0.53 "night"
2017-04-06 0.8 "dawn"
2017-04-06 0.85 "morn"
2017-04-06 0.78 "after"
2017-04-06 0.68 "night"
2017-04-07 0.8 "dawn"
2017-04-07 0.8 "morn"
2017-04-07 0.79 "after"
2017-04-07 0.67 "night"
2017-04-08 0.83 "dawn"
2017-04-08 0.92 "morn"
2017-04-08 0.88 "after"
2017-04-08 0.59 "night"
2017-04-09 0.78 "dawn"
2017-04-09 0.84 "morn"
2017-04-09 0.71 "after"
2017-04-09 0.41 "night"
2017-04-10 0.71 "dawn"
2017-04-10 0.77 "morn"
2017-04-10 0.56 "after"
2017-04-10 0.4 "night"
2017-04-11 0.72 "dawn"
2017-04-11 0.72 "morn"
2017-04-11 0.67 "after"
2017-04-11 0.47 "night"
2017-04-12 0.76 "dawn"
2017-04-12 0.82 "morn"
2017-04-12 0.77 "after"
2017-04-12 0.61 "night"
2017-04-13 0.85 "dawn"
2017-04-13 0.92 "morn"
2017-04-13 0.86 "after"
2017-04-13 0.54 "night"
2017-04-14 0.84 "dawn"
2017-04-14 0.92 "morn"
2017-04-14 0.83 "after"
2017-04-14 0.64 "night"
2017-04-15 0.83 "dawn"
2017-04-15 0.9 "morn"
2017-04-15 0.82 "after"
2017-04-15 0.6 "night"
2017-04-16 0.9 "dawn"
2017-04-16 0.92 "morn"
2017-04-16 0.9 "after"
2017-04-16 0.64 "night"
2017-04-17 0.88 "dawn"
2017-04-17 0.85 "morn"
2017-04-17 0.78 "after"
2017-04-17 0.67 "night"
2017-04-18 0.74 "dawn"
2017-04-18 0.71 "morn"
2017-04-18 0.76 "after"
2017-04-18 0.59 "night"
2017-04-19 0.84 "dawn"
2017-04-19 0.86 "morn"
2017-04-19 0.78 "after"
2017-04-19 0.61 "night"
2017-04-20 0.85 "dawn"
2017-04-20 0.79 "morn"
2017-04-20 0.64 "after"
2017-04-20 0.56 "night"
2017-04-21 0.63 "dawn"
2017-04-21 0.58 "morn"
2017-04-21 0.48 "after"
2017-04-21 0.68 "night"
2017-04-22 0.95 "dawn"
2017-04-22 0.97 "morn"
2017-04-22 0.92 "after"
2017-04-22 0.69 "night"
2017-04-23 0.9 "dawn"
2017-04-23 0.93 "morn"
2017-04-23 0.95 "after"
2017-04-23 0.67 "night"
2017-04-24 0.91 "dawn"
2017-04-24 0.97 "morn"
2017-04-24 0.97 "after"
2017-04-24 0.69 "night"
2017-04-25 0.88 "dawn"
2017-04-25 0.93 "morn"
2017-04-25 0.89 "after"
2017-04-25 0.6 "night"
2017-04-26 0.78 "dawn"
2017-04-26 0.74 "morn"
2017-04-26 0.6 "after"
2017-04-26 0.53 "night"
2017-04-27 0.89 "dawn"
2017-04-27 0.98 "morn"
2017-04-27 0.97 "after"
2017-04-27 0.63 "night"
2017-04-28 0.91 "dawn"
2017-04-28 0.94 "morn"
2017-04-28 0.93 "after"
2017-04-28 0.59 "night"
2017-04-29 0.89 "dawn"
2017-04-29 0.87 "morn"
2017-04-29 0.96 "after"
2017-04-29 0.71 "night"
2017-04-30 0.94 "dawn"
2017-04-30 0.96 "morn"
2017-04-30 0.94 "after"
2017-04-30 0.59 "night"
2017-05-01 0.9 "dawn"
2017-05-01 0.97 "morn"
2017-05-01 0.91 "after"
2017-05-01 0.67 "night"
2017-05-02 0.82 "dawn"
2017-05-02 0.87 "morn"
2017-05-02 0.82 "after"
2017-05-02 0.63 "night"
2017-05-03 0.87 "dawn"
2017-05-03 0.9 "morn"
2017-05-03 0.75 "after"
2017-05-03 0.7 "night"
2017-05-04 0.88 "dawn"
2017-05-04 0.89 "morn"
2017-05-04 0.88 "after"
2017-05-04 0.7 "night"
2017-05-05 0.89 "dawn"
2017-05-05 0.94 "morn"
2017-05-05 0.92 "after"
2017-05-05 0.67 "night"
2017-05-06 0.89 "dawn"
2017-05-06 0.88 "morn"
2017-05-06 0.81 "after"
2017-05-06 0.56 "night"
2017-05-07 0.73 "dawn"
2017-05-07 0.71 "morn"
2017-05-07 0.62 "after"
2017-05-07 0.65 "night"
2017-05-08 0.83 "dawn"
2017-05-08 0.81 "morn"
2017-05-08 0.76 "after"
2017-05-08 0.6 "night"
2017-05-09 0.79 "dawn"
2017-05-09 0.84 "morn"
2017-05-09 0.76 "after"
2017-05-09 0.64 "night"
2017-05-10 0.86 "dawn"
2017-05-10 0.91 "morn"
2017-05-10 0.83 "after"
2017-05-10 0.53 "night"
2017-05-11 0.89 "dawn"
2017-05-11 0.86 "morn"
2017-05-11 0.81 "after"
2017-05-11 0.86 "night"
2017-05-12 0.77 "dawn"
2017-05-12 0.84 "morn"
2017-05-12 0.86 "after"
2017-05-12 0.9 "night"
2017-05-13 0.96 "dawn"
2017-05-13 0.91 "morn"
2017-05-13 0.79 "after"
2017-05-13 0.67 "night"
