"data" "minima" "pd"
2017-04-20 0.7 "morn"
2017-04-20 0.27 "after"
2017-04-20 0.24 "night"
2017-04-21 0.58 "dawn"
2017-04-21 0.51 "morn"
2017-04-21 0.31 "after"
2017-04-21 0.33 "night"
2017-04-22 0.74 "dawn"
2017-04-22 0.92 "morn"
2017-04-22 0.5 "after"
2017-04-22 0.43 "night"
2017-04-23 0.78 "dawn"
2017-04-23 0.87 "morn"
2017-04-23 0.5 "after"
2017-04-23 0.5 "night"
2017-04-24 0.74 "dawn"
2017-04-24 0.86 "morn"
2017-04-24 0.5 "after"
2017-04-24 0.42 "night"
2017-04-25 0.75 "dawn"
2017-04-25 0.88 "morn"
2017-04-25 0.48 "after"
2017-04-25 0.41 "night"
2017-04-26 0.61 "dawn"
2017-04-26 0.65 "morn"
2017-04-26 0.24 "after"
2017-04-26 0.24 "night"
2017-04-27 0.63 "dawn"
2017-04-27 0.91 "morn"
2017-04-27 0.54 "after"
2017-04-27 0.38 "night"
2017-04-28 0.72 "dawn"
2017-04-28 0.87 "morn"
2017-04-28 0.43 "after"
2017-04-28 0.42 "night"
2017-04-29 0.66 "dawn"
2017-04-29 0.51 "morn"
2017-04-29 0.52 "after"
2017-04-29 0.45 "night"
2017-04-30 0.78 "dawn"
2017-04-30 0.93 "morn"
2017-04-30 0.58 "after"
2017-04-30 0.47 "night"
2017-05-01 0.68 "dawn"
2017-05-01 0.9 "morn"
2017-05-01 0.55 "after"
2017-05-01 0.53 "night"
2017-05-02 0.78 "dawn"
2017-05-02 0.8 "morn"
2017-05-02 0.56 "after"
2017-05-02 0.44 "night"
2017-05-03 0.7 "dawn"
2017-05-03 0.84 "morn"
2017-05-03 0.35 "after"
2017-05-03 0.42 "night"
2017-05-04 0.77 "dawn"
2017-05-04 0.87 "morn"
2017-05-04 0.7 "after"
2017-05-04 0.54 "night"
2017-05-05 0.76 "dawn"
2017-05-05 0.86 "morn"
2017-05-05 0.72 "after"
2017-05-05 0.57 "night"
2017-05-06 0.71 "dawn"
2017-05-06 0.79 "morn"
2017-05-06 0.54 "after"
2017-05-06 0.42 "night"
2017-05-07 0.6 "dawn"
2017-05-07 0.61 "morn"
2017-05-07 0.44 "after"
2017-05-07 0.39 "night"
2017-05-08 0.69 "dawn"
2017-05-08 0.79 "morn"
2017-05-08 0.43 "after"
2017-05-08 0.38 "night"
2017-05-09 0.67 "dawn"
2017-05-09 0.77 "morn"
2017-05-09 0.45 "after"
2017-05-09 0.48 "night"
2017-05-10 0.7 "dawn"
2017-05-10 0.84 "morn"
2017-05-10 0.51 "after"
2017-05-10 0.47 "night"
2017-05-11 0.54 "dawn"
2017-05-11 0.76 "morn"
2017-05-11 0.61 "after"
2017-05-11 0.54 "night"
2017-05-12 0.71 "dawn"
2017-05-12 0.74 "morn"
2017-05-12 0.63 "after"
2017-05-12 0.58 "night"
2017-05-13 0.79 "dawn"
2017-05-13 0.81 "morn"
2017-05-13 0.46 "after"
2017-05-13 0.4 "night"
2017-05-14 0.68 "dawn"
2017-05-14 0.91 "morn"
2017-05-14 0.55 "after"
2017-05-14 0.49 "night"
2017-05-15 0.72 "dawn"
2017-05-15 0.87 "morn"
2017-05-15 0.64 "after"
2017-05-15 0.62 "night"
2017-05-16 0.85 "dawn"
2017-05-16 0.86 "morn"
2017-05-16 0.68 "after"
2017-05-16 0.65 "night"
2017-05-17 0.75 "dawn"
2017-05-17 0.77 "morn"
2017-05-17 0.58 "after"
2017-05-17 0.51 "night"
2017-05-18 0.65 "dawn"
2017-05-18 0.66 "morn"
2017-05-18 0.48 "after"
2017-05-18 0.44 "night"
2017-05-19 0.66 "dawn"
2017-05-19 0.8 "morn"
2017-05-19 0.5 "after"
2017-05-19 0.38 "night"
2017-05-20 0.62 "dawn"
2017-05-20 0.76 "morn"
2017-05-20 0.44 "after"
2017-05-20 0.34 "night"
2017-05-21 0.56 "dawn"
2017-05-21 0.7 "morn"
2017-05-21 0.17 "after"
2017-05-21 0.18 "night"
2017-05-22 0.6 "dawn"
2017-05-22 0.82 "morn"
2017-05-22 0.58 "after"
2017-05-22 0.52 "night"
2017-05-23 0.75 "dawn"
2017-05-23 0.71 "morn"
2017-05-23 0.56 "after"
2017-05-23 0.46 "night"
2017-05-24 0.71 "dawn"
2017-05-24 0.82 "morn"
2017-05-24 0.57 "after"
2017-05-24 0.49 "night"
2017-05-25 0.62 "dawn"
2017-05-25 0.71 "morn"
2017-05-25 0.47 "after"
2017-05-25 0.43 "night"
2017-05-26 0.65 "dawn"
2017-05-26 0.77 "morn"
2017-05-26 0.49 "after"
2017-05-26 0.4 "night"
2017-05-27 0.69 "dawn"
2017-05-27 0.83 "morn"
2017-05-27 0.46 "after"
2017-05-27 0.4 "night"
2017-05-28 0.77 "dawn"
2017-05-28 0.77 "morn"
2017-05-28 0.45 "after"
2017-05-28 0.37 "night"
2017-05-29 0.75 "dawn"
2017-05-29 0.89 "morn"
2017-05-29 0.52 "after"
2017-05-29 0.5 "night"
2017-05-30 0.71 "dawn"
2017-05-30 0.84 "morn"
2017-05-30 0.45 "after"
2017-05-30 0.41 "night"
2017-05-31 0.6 "dawn"
2017-05-31 0.53 "morn"
2017-05-31 0.11 "after"
2017-05-31 0.14 "night"
2017-06-01 0.49 "dawn"
2017-06-01 0.36 "morn"
2017-06-01 0.19 "after"
2017-06-01 0.34 "night"
2017-06-02 0.74 "dawn"
2017-06-02 0.96 "morn"
2017-06-02 0.64 "after"
2017-06-02 0.55 "night"
2017-06-03 0.79 "dawn"
2017-06-03 0.85 "morn"
2017-06-03 0.6 "after"
2017-06-03 0.51 "night"
2017-06-04 0.74 "dawn"
2017-06-04 0.84 "morn"
2017-06-04 0.55 "after"
2017-06-04 0.47 "night"
2017-06-05 0.78 "dawn"
2017-06-05 0.93 "morn"
2017-06-05 0.68 "after"
2017-06-05 0.59 "night"
2017-06-06 0.8 "dawn"
2017-06-06 0.87 "morn"
2017-06-06 0.56 "after"
2017-06-06 0.56 "night"
2017-06-07 0.8 "dawn"
2017-06-07 0.83 "morn"
2017-06-07 0.68 "after"
2017-06-07 0.72 "night"
2017-06-08 0.79 "dawn"
2017-06-08 0.8 "morn"
2017-06-08 0.34 "after"
2017-06-08 0.34 "night"
2017-06-09 0.56 "dawn"
2017-06-09 0.39 "morn"
2017-06-09 0.1 "after"
2017-06-09 0.1 "night"
2017-06-10 0.25 "dawn"
2017-06-10 0.26 "morn"
2017-06-10 0.32 "after"
2017-06-10 0.48 "night"
2017-06-11 0.72 "dawn"
2017-06-11 0.88 "morn"
2017-06-11 0.62 "after"
2017-06-11 0.58 "night"
2017-06-12 0.76 "dawn"
2017-06-12 0.87 "morn"
2017-06-12 0.55 "after"
2017-06-12 0.54 "night"
2017-06-13 0.77 "dawn"
2017-06-13 0.87 "morn"
2017-06-13 0.53 "after"
2017-06-13 0.48 "night"
2017-06-14 0.79 "dawn"
2017-06-14 0.82 "morn"
2017-06-14 0.61 "after"
2017-06-14 0.54 "night"
2017-06-15 0.68 "dawn"
2017-06-15 0.54 "morn"
2017-06-15 0.4 "after"
2017-06-15 0.37 "night"
2017-06-16 0.79 "dawn"
2017-06-16 0.84 "morn"
2017-06-16 0.47 "after"
2017-06-16 0.33 "night"
2017-06-17 0.72 "dawn"
2017-06-17 0.84 "morn"
2017-06-17 0.5 "after"
2017-06-17 0.52 "night"
2017-06-18 0.81 "dawn"
2017-06-18 0.88 "morn"
2017-06-18 0.53 "after"
2017-06-18 0.5 "night"
2017-06-19 0.79 "dawn"
2017-06-19 0.86 "morn"
2017-06-19 0.27 "after"
2017-06-19 0.27 "night"
2017-06-20 0.81 "dawn"
2017-06-20 0.85 "morn"
2017-06-20 0.66 "after"
2017-06-20 0.54 "night"
2017-06-21 0.71 "dawn"
2017-06-21 0.48 "morn"
2017-06-21 0.53 "after"
2017-06-21 0.54 "night"
2017-06-22 0.67 "dawn"
2017-06-22 0.83 "morn"
2017-06-22 0.54 "after"
2017-06-22 0.53 "night"
2017-06-23 0.69 "dawn"
2017-06-23 0.85 "morn"
2017-06-23 0.53 "after"
2017-06-23 0.46 "night"
2017-06-24 0.81 "dawn"
2017-06-24 0.75 "morn"
2017-06-24 0.6 "after"
2017-06-24 0.46 "night"
2017-06-25 0.78 "dawn"
2017-06-25 0.73 "morn"
2017-06-25 0.45 "after"
2017-06-25 0.4 "night"
2017-06-26 0.6 "dawn"
2017-06-26 0.73 "morn"
2017-06-26 0.43 "after"
2017-06-26 0.63 "night"
2017-06-27 0.77 "dawn"
2017-06-27 0.82 "morn"
2017-06-27 0.55 "after"
2017-06-27 0.51 "night"
2017-06-28 0.79 "dawn"
2017-06-28 0.87 "morn"
2017-06-28 0.61 "after"
2017-06-28 0.53 "night"
2017-06-29 0.86 "dawn"
2017-06-29 0.85 "morn"
2017-06-29 0.47 "after"
2017-06-29 0.36 "night"
2017-06-30 0.78 "dawn"
2017-06-30 0.91 "morn"
2017-06-30 0.44 "after"
2017-06-30 0.36 "night"
2017-07-01 0.74 "dawn"
2017-07-01 0.9 "morn"
2017-07-01 0.64 "after"
2017-07-01 0.56 "night"
2017-07-02 0.76 "dawn"
2017-07-02 0.89 "morn"
2017-07-02 0.5 "after"
2017-07-02 0.46 "night"
